# Time  Perpendicularity_Metric
0.638595 0.212275
0.638618 0.212275
0.63864 0.212275
0.638663 0.212275
0.638685 0.212275
0.638708 0.212275
0.63873 0.212275
0.638753 0.212275
0.638775 0.212275
0.638798 0.212275
0.63882 0.212275
0.638843 0.212275
0.638865 0.212275
0.638888 0.212275
0.63891 0.212275
0.638933 0.212275
0.638955 0.212275
0.638978 0.212275
0.639 0.212275
0.639023 0.212275
0.639045 0.212275
0.639068 0.212275
0.63909 0.212275
0.639113 0.212275
0.639135 0.212275
0.639158 0.212275
0.63918 0.212275
0.639203 0.212275
0.639225 0.212275
0.639248 0.212275
0.63927 0.212275
0.639293 0.212275
0.639315 0.212275
0.639338 0.212275
0.63936 0.212275
0.639383 0.212275
0.639405 0.212275
0.639428 0.212275
0.63945 0.212275
0.639473 0.212275
0.639495 0.212275
0.639518 0.212275
0.63954 0.212275
0.639563 0.212275
0.639585 0.212275
0.639608 0.212275
0.63963 0.212275
0.639653 0.212275
0.639675 0.212275
0.639698 0.212275
0.63972 0.212275
0.639743 0.212275
0.639765 0.212275
0.639788 0.212275
0.63981 0.212275
0.639833 0.212275
0.639855 0.212275
0.639878 0.212275
0.6399 0.212275
0.639923 0.212275
0.639945 0.212275
0.639968 0.212275
0.63999 0.212275
0.640013 0.212275
0.640035 0.212275
0.640058 0.212275
0.64008 0.212275
0.640103 0.212275
0.640125 0.212275
0.640148 0.212275
0.64017 0.212275
0.640193 0.212275
0.640215 0.212275
0.640238 0.212275
0.64026 0.212275
0.640283 0.212275
0.640305 0.212275
0.640328 0.212275
0.64035 0.212275
0.640373 0.212275
0.640395 0.212275
0.640418 0.212275
0.64044 0.212275
0.640463 0.212275
0.640485 0.212275
0.640508 0.212275
0.64053 0.212275
0.640553 0.212275
0.640575 0.212275
0.640598 0.212275
0.64062 0.212275
0.640643 0.212275
0.640665 0.212275
0.640688 0.212275
0.64071 0.212275
0.640733 0.212275
0.640755 0.212275
0.640778 0.212275
0.6408 0.212275
0.640823 0.212275
0.640845 0.212275
0.640868 0.212275
0.64089 0.212275
0.640913 0.212275
0.640935 0.212275
0.640958 0.212275
0.64098 0.212275
0.641003 0.212275
0.641025 0.212275
0.641048 0.212275
0.64107 0.212275
0.641093 0.212275
0.641115 0.212275
0.641138 0.212275
0.64116 0.212275
0.641183 0.212275
0.641205 0.212275
0.641228 0.212275
0.64125 0.212275
0.641273 0.212275
0.641295 0.212275
0.641318 0.212275
0.64134 0.212275
0.641363 0.212275
0.641385 0.212275
0.641408 0.212275
0.64143 0.212275
0.641453 0.212275
0.641475 0.212275
0.641498 0.212275
0.64152 0.212275
0.641543 0.212275
0.641565 0.212275
0.641588 0.212275
0.64161 0.212275
0.641633 0.212275
0.641655 0.212275
0.641678 0.212275
0.6417 0.212275
0.641723 0.212275
0.641745 0.212275
0.641768 0.212275
0.64179 0.212275
0.641813 0.212275
0.641835 0.212275
0.641858 0.212275
0.64188 0.212275
0.641903 0.212275
0.641925 0.212275
0.641948 0.212275
0.64197 0.212275
0.641993 0.212275
0.642015 0.212275
0.642038 0.212275
0.64206 0.212275
0.642083 0.212275
0.642105 0.212275
0.642128 0.212275
0.64215 0.212275
0.642173 0.212275
0.642195 0.212275
0.642218 0.212275
0.64224 0.212275
0.642263 0.212275
0.642285 0.212275
0.642308 0.212275
0.64233 0.212275
0.642353 0.212275
0.642375 0.212275
0.642398 0.212275
0.64242 0.212275
0.642443 0.212275
0.642465 0.212275
